N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
114,제일기획,"22,400",0,0.00%,200,"25,769","115,041",34.10,"202,714",13.07,15.58
115,한화생명,"2,930",30,-1.01%,"5,000","25,448","868,530",6.74,"1,351,312",2.37,10.79
116,CJ,"82,800",500,-0.60%,"5,000","24,159","29,177",17.89,"46,509",8.41,5.66
117,KODEX 종합채권(AA-이상)액티브,"103,455",270,-0.26%,0,"24,097","23,292",0.00,"11,378",N/A,N/A
118,한화시스템,"12,750","1,100",+9.44%,"5,000","24,087","188,919",3.66,"5,907,836",-265.62,6.04
119,동원산업,"48,000",350,-0.72%,"1,000","23,992","49,983",2.33,"19,113",4.36,12.59
120,BNK금융지주,"7,160",80,-1.10%,"5,000","23,337","325,935",36.15,"1,054,308",2.88,8.76
121,신세계,"236,500",500,-0.21%,"5,000","23,284","9,845",26.24,"73,686",7.84,8.54
122,한전기술,"60,900",100,+0.16%,200,"23,276","38,220",2.11,"174,733",114.69,3.25
123,서울가스,"457,500","6,500",+1.44%,"5,000","22,875","5,000",4.66,"20,821",108.36,0.80
124,한솔케미칼,"201,000","3,000",+1.52%,"5,000","22,784","11,335",39.35,"35,455",15.95,23.88
125,LS,"70,100",900,+1.30%,"5,000","22,572","32,200",13.53,"75,157",5.63,8.15
126,에스원,"59,200",500,+0.85%,500,"22,496","37,999",53.84,"71,131",17.67,9.13
127,LG화학우,"291,000","5,500",-1.85%,"5,000","22,374","7,689",70.44,"8,252",10.24,N/A
128,두산퓨얼셀,"33,650",150,-0.44%,100,"22,039","65,494",14.87,"391,837",673.00,1.69
129,KODEX 200선물인버스2X,"2,980",50,+1.71%,0,"21,745","729,700",2.49,"131,395,807",N/A,N/A
130,휠라홀딩스,"35,700",100,-0.28%,"1,000","21,689","60,752",43.13,"149,182",10.07,16.20
131,OCI,"89,800","3,100",+3.58%,"5,000","21,417","23,849",14.17,"645,790",2.66,23.93
132,대우조선해양,"19,800",200,+1.02%,"5,000","21,244","107,291",2.75,"229,284",-1.24,-55.86
133,TIGER MSCI Korea TR,"13,120",135,-1.02%,0,"21,044","160,400",0.01,"17,482",N/A,N/A
134,KODEX 200TR,"10,680",85,-0.79%,0,"21,018","196,800",0.02,"1,571,085",N/A,N/A
135,농심,"345,000","7,500",-2.13%,"5,000","20,985","6,083",15.25,"18,717",18.05,4.73
136,CJ대한통운,"91,700","1,300",-1.40%,"5,000","20,919","22,812",16.78,"30,446",10.37,1.59
137,한화,"27,850",100,+0.36%,"5,000","20,876","74,959",18.05,"130,887",2.01,20.22
138,한미사이언스,"30,350",900,-2.88%,500,"20,827","68,624",1.32,"129,937",41.86,6.37
139,HL만도,"43,750",50,+0.11%,"1,000","20,544","46,957",23.26,"147,930",9.69,9.31
140,KODEX 레버리지,"14,785",255,-1.70%,0,"20,226","136,800",0.11,"18,391,014",N/A,N/A
141,JB금융지주,"10,150",260,+2.63%,"5,000","19,994","196,983",30.54,"1,599,075",3.44,12.80
142,KCC,"224,500",500,-0.22%,"5,000","19,950","8,886",13.82,"30,307",-7.21,-0.92
143,동서,"19,750",50,+0.25%,500,"19,691","99,700",2.98,"49,440",17.79,8.05
144,GS건설,"23,000",200,-0.86%,"5,000","19,684","85,581",28.16,"952,078",3.93,9.32
145,대한전선,"1,570",20,-1.26%,100,"19,538","1,244,473",2.29,"4,385,872",60.38,7.78
